naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster_pca,center_distance_pca,cluster_tsne,center_distance_tsne
Party shop praznuje!,vabiti praznovanje rojsten dan glaven gostja bqti zadolžen žura celoten dogodek povezovati rebek dremlje družiti lahek najbolj slaven slovenec rebek dremlje cool fotr družinica nik zorjati nives orešnik številen pogostiti okusen dobrota slan sladek okus slovenija sladkati sladkoren pena čarodej jola cola klovnes mali imeti mlad pripravljen animacija igralnica dolphy poskrbeti zabava mlad trgovina postaviti velik napihljiv grad poskrbljen pijača žejen celoten vikend prinašati popust izdelek zato pozaba potrditi dogodek deliti prijatelj priti ostal častiti videti,2019-10-26 16:00:00,182,305512502990178.0,0,0.020298193338814427,0,0.11939319938062934
Pravljični Gourmet,mesten središče stanetov ulica zvrstiti vrhunski kuhar chef ostal kulinaričen ustvarjalec vrhunec kulinaričen dogajanje doseči sobota december razvajati galerija okus pavus grad tabor laški gostilna francti gostilna oštirek kdaj sobota december dalja kje mesten središče več tica celj ᴄᴇɴᴀ ᴋᴜᴘᴏɴᴀ ᴘʀᴇʜʀᴀɴᴏ ᴋᴜᴘᴏɴɪ ʙᴏᴅᴏ ᴠᴏʟᴊᴏ ᴅᴏɢᴏᴅᴋᴜ ᴄᴇɴᴀ ᴘɪᴊᴀčᴇ ᴠᴋʟᴊᴜčᴇɴᴀ ᴋᴜᴘᴏɴ,2019-12-21 17:00:00,236,895600303821792.0,6,0.04380837814617696,0,1.137749337685945
Gourmet Over Mura,prvovrsten doživetje spoznavanje pomur gourmeti over mura grad murski sobota petek dalja vstopnina kuponček hrana pijača kupiti dan dogodek blagajna vhod letos prvič mednaroden sodelovanje gostujoč chef avstrija madžarski hrvaški slovenija gourmeti over mura postaja sinonim dober zgodba zapisan čutiti kulinaričen razvajanje kulinaričen popotovanje letošnji let grad murski sobota znova poskrbeti vrhunec letošnji zaključek poletje obiskovalec kulinaričen doživetje prvovrsten spoznavanje pomur doživel obogaten povezovanje gost razvajati slovenski mednaroden chef najbolj slovit rudolfa štefan max stiegti restravracija pelegrina navduševati sodoben različica dalmatinski jed nagrajen michelinov zvezdica zvzedica prejeti let danes restavracija guti purbach ustvarjati rep rilček krožnik ustvarjati mojstrov žeja poskrbeti vrhunski vinar pivovar,2019-09-06 19:00:00,1772,118415775744059.0,5,0.03755676916939345,0,1.518896445365922
"Festival Malvazija, žlahtni okus Mediterana 2020",festival malvazija žlahten okus mediteran marec več malvazija več vinar država sla hrv iti vinski delavnica sončen portorož slovenija lifeclass podroben seznam vinar društvo slovenski ister vaba festival malvazija žlahten okus mediteran več malvazija lahek družiti nedelja marec kongresen center portoroški slovenija vstopnina ever prejeti kozarec več infa fba stran društvo slovenski ister lahek pisati privati sporočilo sloven inviti ati festival malvasio gust raffinat del sieta invitati trascorra del tempo companio dell pio varietà malvasio domenica lunedì marza entrat eura kjedov kongresen center portus slovenija portorožcenter congress portus slovenija portorosa obiskovalec festival malvazija hotel lifeclass spa portorož volja ugoden namestitven paketa spa storitev več per visitator del festival malvasio lifeclass spa portorož offrona pacchett soggioren prezza maggior,2020-03-01 15:00:00,1165,186049424765001.0,2,0.052047813794432005,0,1.5275626412553103
Okusi z gradu²,okus grad zadnji avgustovski dan mešati izjemen kuhar kulinaričen dogodek pripravljati poletje resničen veseliti sodelovanje več podrobnost sled,2019-08-31 18:00:00,153,825083184207015.0,6,0.03528155285344896,0,1.545069118685005
5. Pop Up Wine Festival Novo mesto,vinski festival obiskati različen vinar cel slovenija sosednji država obet vrnitev vinar portugalski podpora festival lokalen gostinec poskrbeti kulinaričen del bmw mak nov mesto leto šofer poskrbeti bližnji okolica nov mesto pripeljati festival dom brezplačen poskrbeti varnost seznam vinar festival objavljen prijava konec mesec marec sproti dopolnjevati festival potekati predstavitev maister gin gin tonik presek iti verjetnost čakati presenečenje sam grad uraden del prijeten druženje glasba videti število vstopnica letos omejen,2020-05-29 15:00:00,451,1523064311170656.0,5,0.03961232495373293,0,1.5476387083455738
JedešPeče,piješpeč serešpeč solzateči skrb izpit potočiti solzica mali kuhen poskrbeti predigra prihajajoč dogodek mednaroden festival čil čokolada štuk kuhati edinstven štuk nikoli prej viden čil cona caren čil cona caren chill cona caren čil meso pekoč enolončnica izvir teksas glaven sestavina čilipekoč paprik goveji meso pogost prisoten fižol paradižnik čil pojavljati neštet variacija izvirati geografski razlika oseben okus edinstven različica čilija tokrat pripraviti mali kuhen volja bolj blag ekster pekoč oblika upati hrana poskrbeti velik gost poskrbeti kapljica presenečenje mehiški stil najbolj pogumen upati poskusiti ekster pekoč čil prirediti nagraden igra zabava poskrbeti edinstven čil tequiti pong lačen niti žeden niti niti,2020-02-24 15:00:00,155,202091796475825.0,0,0.06314850726091999,0,1.6576892535171068
ČiLi festival Lepa žoga,lep jesenski sobota oktober vabiti čil festival kjer trenuten najbolj zanimiv ponudnik čil izdelek omaka vedno poudarek jed razstavljavec čilidok chiti cona caren golaž jed smoker riba sir marmelada sladica pestra ponudba kjer zagotovo najti čil pivo tektonik kraft pivovarna čil limonada program povezovati luk korenčič strokoven komisija ocenjevati dober najbolj izviren omaka dober jed ocenjevanje sodelovati prijeten druženje impra predstava lastnikov humor ura priti pekoč,2019-10-05 10:00:00,215,114709901886106.0,6,0.02969461867857903,0,1.6685843990652651
Predavanje o čilijih -Iz semena do omake- in degustacija omak,letos okvir razstava čilij obiskovalec vrten center arboretum volčji potok organizirati predavanje čilij naslov seme omaka predavatelj tomaž pipp več let ukvarjati vzgoja čilij pridelovanje pekoč čil omakica danes prepoznati blagoven znamka čil pipp tomaž okvir predavanje pripraviti degustacija pekoč omaka vstop prost vabiti,2019-09-14 15:00:00,250,2144892585566347.2,6,0.043703135644432414,0,1.6726099791062188
5. Pravi čili festival v Sloveniji,pravi čil festival obet obilo kulinaričen doživetje okus jed pikanten preveč pikanten čilija vajen pester spremljevalen program leto pridružiti,2019-08-31 09:00:00,1876,2077921755844804.8,6,0.04092683361854181,0,1.743818625532377
