naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
El FUEGO Season Opening,program latina flavored pop danec reggaeton latina hous tropicati islanda beats dvomesečen počitnice vrač sočen nanizanka zagorel poletje pretkati latinski vonj tropski plaža okus mojit dje papa matthew razmigati žanrski pestra selekcija hit kariba favela urban latinski kvarta rdeč petek pripravljen latina flavored pop danec reggaeton latina hous tropicati islanda beats set club cirkus most resident series passion cultura anda joy lifa thati ara fueling most joyfula puta thati red heels graba youra mojit anda sway away caus rhyth gon get matthew dje papa fba fba klub cirkus trg mladinski deloven brigada ljubljana cena vstopnica tickets prices navaden regular eura vip eura infa vip miza izgubljen predmet lost founda gmailc,2019-08-31 23:00:00,791,237302949627686,3,0.0026400721858574608
✦Veliki poizpitni žur✦FFA&FS✦,bližati konec izpiten obdobje ogromen poizpiten žur čas neprespan noč preživet knjiga zamenjati mali bolj zabaven neprespan noč preživet dober klub cirkus tokrat edinstven marec združiti fakulteta strojništvo fakulteta farmacija znan fakulteta preseliti lokacija povezovati hodnik zdaj odličen priložnost mali globji povezava skleniti nov čas farmacevtka zmešati glava fant sosednji fakulteta upanje etanolen mešanica povzročati mehanski težava cena vstopnica tickets prices vstopnica presati eura torek sreda marec fakulteta strojništvo soba pisarna šofs fakulteta farmacija navaden regular eura vip eura vip miza infa robert šebenik gmailc david berdajs strojniks klub cirkus trg mladinski deloven brigada lokacija bivši kino vič ljubljana partner dogodek študent fakulteta farmacija strojniks šofs strojniks resor obštudijski dejavnost training center legionar fitnes klub heštega žura ljubljana novica super travel,2020-03-11 23:00:00,1004,237302949627686,3,0.007955994782967588
Tutti Frutti: 90s & 00s Hits,obvezen žura let titanic dakota eldorad babilon inbox spremljati karaok popstars pogledati zadeti šteti dan naslednji vikend power mix danec sensation spot viv mtv tutt frutt žura ljubiteje dober ponujati arhiv plesen muzik prst tand matthew matteo kunst znati narediti drugače hrati točen treba občutek cirkus legendary residency dedicated vedeti adored anda boy anda gireti bands hip hop anda danec classics das grung anda rava anda all thos guilty pleasures ara kinda admiti actually lov matthew matteo kunst klub cirkus trg mladinski deloven brigada cena vstopnica tickets prices navaden regular eura vip eura infa vip miza izgubljen predmet lost founda infa,2020-01-25 23:00:00,705,237302949627686,3,0.01061116733929807
RELJA Popović & DINNA | 21.12. | Pivnica Celjanka,reljati popović dinen sobota december dogodekmesec december povečan celjanka prihajati nekdanji član super popularen skupina eliten odred trenuten najbolj vroč rnba hip hop izvajalec regija reljati popović nastopiti poseben gostja dinen mlad slovenka vztrajen osvajati scena regija izjemen zanimanje priporočati pravočasen nakup vstopnica posebnost liv staga reljati dinen ica cold proma tea povečan pivnica celjanek sosednji hala dje tinny vstopnica prodaja sistem event petrolio pivnica celjanek spleten nakup vip vstopnica visok miza oseba boati izbira dober lokacija dvorana pogled izvajalec cena eura rezervacija nakup vip miza pivnicaceljanek gmailc ogrevanje privoščiti amor latina evropa meduza nikolija princez bel mada balkan dolec vit dinen peh dinen driv manch rati starosten omejitev aga limiti vstop dogodek polnoleten prositi prinesti oseben dokument infa miza infa tabla reservation infa stoloviti rezervacija miza obvezen nakup boati rezerviran miza potreben prevzet kasneje pivnicaceljanek gmailc pivnica celjanek dečkov celj celjski sejmišče,2019-12-21 22:00:00,1717,1253348004707214,3,0.015357762523788773
Estrada ~ MC Stojan x JNX x Doublez,ola ola ola hajda dodje brza mca stojan ola ola odlaziti ostajati miam mog segrevanje ozračje poskrbeti dober znan jnx pridruževati mlad vzhajati dje doubleza starta vstopnina vstopnica kupljen vstop možen ura začeti karta možen kupiti olaiic omv promotor paketa paketa paketa velik zanimanje vstopnica zagotoviti čimprej število omejen povabiti prijatelj deti dogodek sodelovati nagraden igra brezplačen vstopnica boati izbira več aga omejitev vstop možen oseben dokument vozniški dovoljenje dijaški slika telefon ipd veljati miza inbox vip vključevati miza boati izbira karta ostal miza vključevati miza boati izbira miza potreben plačati rok dan prevzet dan dogodek xtima klub osojnikov cesta ptovati,2020-03-20 21:00:00,671,1551197985160217,3,0.01707973725769456
Nikolija PURE Night Club Ljubljana,club pura predstavalj nov serija dogodek odpirati srbski estradnica nov generacija očarljiv fota model raperek pevka hči legendaren vesen zmijanaca dober polovica relj popovič rojen velik odreti petek oktober hit harizem nem lijeti yina yang premieren predstaviti oder čakati balkanski ekstaza svež ritem vabiti coby rast jati brat bub corell anastasija ražnatović senida reljati sajsi mca stojen mca vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiški ljubljana slovenio informacija infa pureljubljanac,2019-10-04 22:00:00,720,445713185468708,3,0.02103406302142672
Darko Lazić PURE Valentinovo 14.2.,velik zmagovalec show zvezda granda let poskrbeti nepozaben valentinov club pura prihajati edin darka lazić vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiški ljubljana slovenio informacija infa pureljubljanac,2020-02-14 22:00:00,805,445713185468708,3,0.021426825399138608
Brucovanje Ekonomistov ❋ 27.11.❋ Klub Cirkus,drag brucek bruca ekonomistka pozor najprej spoznati začetek oktober potem skupaj preživel nepozaben business weekend kranjski gora vmes odpisati kolokviti sedaj čakati naslednji obveznost uraden brucovanje ekonomski fakulteta odvijati klub cirkus kdaj razmišljati kdaj več čas spontan priložnost druženje norčija spoznavanje spogledovanje zanimiv predavanje kdaj razmišljati kdaj kje lahek povabiti kolegicog zmenek pretveza učenje pisanje seminarski nalog guljenje klop življenjski priložnost brucovanje prelomnica vstopiti svet star kolegov svet razsvetljenje modrost sreda zatresti cirkus zamuditi brucovanje zabava vključen uraden del nagovor profesorjev zaprisega atrij uraden del nazdraviti nato skupaj odpraviti mesto nočen dogajanje več sled predprodaja vstopnica infa točka vda pisarna šoefšsef cena vstopnica tickets prices navaden karta predprodaja kontingent vstopnica kontingent vstopnica vstopnica vhod vip vstopnica vip rezervacija miza rezervacija cirkusklubs infa povezanief gmailc pripraviti ekonomski cena pijača denarnica zdržati cel vesel december klub cirkus trg mladinski deloven brigada lokacija bivši kino vič ljubljana dogodek omogočiti študentski organizacija ekonomski fakulteta študentski svet ekonomski fakulteta povezan spirits legionar fitnes klub heštega kompas young,2019-11-27 23:00:00,993,237302949627686,3,0.026265440441888842
Poizpitni YUGO ROCK s Petro Zore & Bomb Shell ❋ 10.3.❋ @TopSix,drag študentka drag študent izpit opravljen neopravljen izpit pozabljen naspati imunost kava energijski pijača izginiti upati vprašanje odgovoriti pozitiven izpiten obdobje zdravstven fakulteta fakulteta računalništvo informatika fakulteta uprava fakulteta elektrotehnika pripraviti dober poizpiten žura marec klub topsix proslavljati opravljen izpit neopravljen najbolj pomemben zažurati skupaj klub tresti poskrbeti skupina bomba shell petra zora poizpiten žur nabrati nov semester ura ura sedenje predavalnica pisanje seminarski nalog oblikovanje nov spleten stran zgodnji vstajanje praksa zato udeležba obvezen cena vstopnica tickets prices predprodaja vstopnica presati fakulteta uprava zdravstven fakulteta avla fakulteta elektrotehnika glaven avla fakulteta fakulteta raćunalništvo informatika avla fra cena vstopnica dan dogodek navaden regular eura vip rezervacje miza karta boati eura vip rezervacija miza jak topsixclubs infa luk kopinšek studentskizuriljubljana gmailc top six day night club tomšičev ulica ljubljana nati sponzor dogodek fitnes klub fula povezan frika stromars pacient,2020-03-10 23:00:00,774,331835760245003,3,0.02712606693127103
Študentski Yugorock Halloween ❋ 23.10. ❋ @Cirkus,when witches riding anda blacka cats ara seen moon laughs anda whispers near halloween spoznaven žur dokazati pravi test šik otvoriti nov leto cirkus tresti začetek sedaj čas povsem drag drag čarovnik čas magija kdaj halloween sreda cirkus ovit zato vabiti del velik halloween žura pustiti presenetiti metla popeljati neznan cena vstopnica tickets prices vstopnica presati ekonomski fakulteta torek sreda vda omara fakulteta strojništvo torek pisarna sreda avla naprej pisarna david berdajs fakulteta torek sreda soba luk kopinšek navaden regular vip vip miza infa rok petriči studentskizuriljubljana gmailc klub cirkus trg mladinski deloven brigada lokacija bivši kino vič ljubljana sponzor dogodek legionar kompas young ljubljana heštega agencija povezan ica cold razlog,2019-10-23 23:00:00,1543,237302949627686,3,0.027177436475383884
