naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster_pca,center_distance_pca,cluster_tsne,center_distance_tsne
Predavanje o volkovih,pozdraviti pozor spremenjen lokacija vabiti predavanje volkov potekati četrtek december dvorana profa janez hribar dekanat biotehniški fakulteta jamnikarjev predavanje vrsta namenjen prostovoljec letos množičen število udeležiti monitoring volk popis izzivanje tuljenje howling dobrodošel tematika zanimati del predavanje doc mih krofel kratek predstaviti ekologija vrsta velik del beseda teči škoda nastal stran volkov preprečevanje del predavanje doc tomaž skrbinšek predstaviti stanje populacija volkov slovenija rezultat letošnji howling zadnji rezultat genetski analiza vljuden vabiti društvo dinaricum spodnji povezava nahajati projekten poročiti spremljanje varstven stanje volkov sezona spremljanje varstven stanje volkov slovenija let delen poročilo poročilo sezona povzetek zavod gozd slovenija univerza ljubljana biotehniški fakulteta društvo dinaricum ljubljana pdf stran spremljanje varstven stanje volkov slovenija let delen poročilo poročilo sezona rekonstrukcija rodovnik zavod gozd slovenija univerza ljubljana biotehniški fakulteta društvo dinaricum pdf stran spremljanje varstven stanje volkov slovenija let delen poročilo poročilo sezona povzetek zavod gozd slovenija univerza ljubljana biotehniški fakulteta društvo dinaricum ljubljana pdf kba spremljanje varstven stanje volkov slovenija let delen poročilo poročilo sezona summary zavod gozd slovenija univerza ljubljana biotehniški fakulteta društvo dinaricum ljubljana pdf stran,2019-12-19 18:00:00,1107,352221058220897.0,2,0.0030359989783930986,4,27.373229369288655
Naravna dediščina ob Veliki vodi,vabiti ogled dokumentaren film naraven dediščina velik voda osvetljevati življenje edinstven kraški reka režija alenka furlan čadež manuela tomšič dolžina mina vstop prost film gledalec pot snežnik izliv reka morje popeljati sodelujoč strokovnjakov boštjan surin opisovati biološki vidik tukajšnji območje hidrogeograf gregor kovačič izreden profesor univerza primorski značaj reka dolina maga daniel rojšek zavod varstvo narava film opomnik zaščitnik narava bogastvo tukajšnji starodaven prvinski bukov gozd razložiti maga špeti koblar habič zavod gozd zelo zavzemati vpis gozden rezervati snežnik ždrocti unesc seznam strokoven sodelavec javen zavod park škocjanski jama borut perica tomaž zorman razkrivati zanimivost zgodovina raziskovanje škocjanski jama opozoriti današnji onesnaževalec ribji živelj akumulacija mol klivnik spregovoriti gospodar ribiški družina bistrica iztok grlj zgodovinar ivati simčič pokrajinski muzej koper razkrivati preteklost struga reka prestavljati film nastal okvir projekt ohranjanje naraven vir lep jutro sredstvo evropski kmetijski sklad razvoj podeželjaprodukcija studio proteus zavod galeja,2020-03-05 18:00:00,262,1252371288188843.0,2,0.004284437402161562,4,22.413347516633653
Predavanje dr. Anje Dular: Ženske in črna umetnost,razstava knjiga znanje razum pridružiti brezplačen predavanje anje dular predstava ženska vloga družba nastal stoletje skušati prikazati mati gospodinja zvest vernica nato projecirati zgoden stoletje moderen doba odločen revidirati razprava ženska antika pomemben vloga srednjeveški družba zgodnji nov vek kazati delež različen polje delovanje imeti stoletje naprej ženski stati čelo tiskarna knjigarna zvest bralka trubar hvala knjiga kuharski del vsakdanjik vabiti,2020-03-10 18:00:00,123,117495971633208.0,2,0.0050942444909135645,4,23.5427921320827
Večer v živo: Vlasta Kuster: Tapkanje za notranjo radost,vabiti srečanje maga vlast kuster kjer govoriti naslednji tema spoznati ponoviti osnova efttehnika naučiti narediti korak naprej oseben duhoven rast naučiti tapkanje doseči notranji mir notranji radost praktičen primer pokazati lahkota manifestirati srčen korak začeti uporabljati tapkanje osvoboditi strah nemir tesnoba kasneje človek zaželeti imeti zdrav samopodoba živeti notranji mir srce nadgraditi znanje tapkanje lahek tapkanje doseči naučiti imeti rešiti omejujoč prepričanje odkriti pravi poslanstvo pravi maga vlast kuster magistrica temeljen medicinski znanost imeti vrhunski znanje eft emotionala freed techniqu imenovan tehnika tapkanje znanje pridobiti ustanovitelj eft gary craig danes pomagati več človek slovenija odpraviti različen strah anksioznost depresija paničen napad ljubosumje vstopnica čakati prizidek večer evetim cena naročnik večer prednaročilo vziva vecerc vlast kuster oblačilo luna,2019-11-25 18:00:00,128,339585799404291.0,2,0.0061095781402117745,2,19.700869487045264
Zvočna kopel z gongom ob sončnem vzhodu - Valdoltra nova plaža,sončen vzhod zelo zdravilen doživet vzhajajoč sonce sprožiti telo prebujenje notranji svetloba sonce simboličen pomen samozavest prebujanje sončen vzhod pomagati krepitev samozavest sonce simbol vitalnost zato zbujanje prinašati dober vitalnost zdravje tokrat združiti energija sonce vibracija gong kombinacija prinesti ravnovesje nivo fizičen čustven mentalen duhoven pridružiti jutranji zdravljenje gong nedelja zjutraj nov plaža valdolter podroben opis zvočen zdravljenje obstoj gong datirati daleč nazaj bronast doba obstajati dokaz gong poznati pnša področje mezopotaija legenda praviti takraten svet gong vsebovati delec padel meteorit prvoten uporabljati orodje doseganje razsvetlitev eteričen projekcija odganjanje zel duh negativen energija stoletje pomagati tibetanski kitajski menih meditacija imeti gong mesto simfoničen orkester imeti številen več inštrument gong izvor gibalo osvobajati energija ustvarjati osnoven ton val zvok visok vibracija sprožiti igranje gong vstop telo posameznik dvig vibracija celica bolezen nastati fizičen telo poseldica pomanjkanje energija oza znižati vibracija celica visok vibracija gong vstop telo omogočiti telo energijski uravnovesiti ozdraviti visok vibracija gong uravnovešati fizičen telo čustvo misel misel povzročiti čustvo vpliv počutje fizičen telo zato pomemben ustvariti ravnovesje nivo fizičen čustven mentalen izvoren frekvenca gong igra pesem spomniti zvok gong prebijati telesen duševen blokada obnavljati celica pomirjati prečiščevati harmonizirati občutek pomagati soočanje življenjski izziv osvobajati stres strah blažiti izboljševati različen bolezenski stanje prečiščevati prostor odstranjevati negativen energija prinesti ležalen podloga pouštrček dekica voda dogodek lahek udeležiti otrok žival prijava obvezen sandramajcen gmailc dogodek brezplačen zaželjen prostovoljen prispevek priti doživeti krasen izkušnja objem sander sumath,2019-08-18 05:00:00,468,486351331442758.0,2,0.006607273952990268,2,23.555668298449906
5. ŠSSFD Simpozij: Sodobna tarčna terapija,biološki zdraviti dosegati zadnji čas izjemen uspeh postajati pogost pereč debata laičen krog zato odločiti biološki biološki podoben zdravilo razvoj uporaba terapija prihodnost posvetiti simpozij šssfd let bolje prodajan zdravilo svet biološki slovenija področje biotehnologija podoben biološki zdravilo prisoten širok merilo zdraviti biološki biološki podoben zdraviti zahtevati ogromen vložen znanje čas trd del uspeti priti gol zamisel dejanski zdraviti uporaben terapija proces popeljati letošnji simpozij predavatelj predstaviti osnova razlika biološki biološki podoben zdraviti predkliničen vrednotenje terapevtski uporabnost slovenski prisotnost biotehnološki področje farmacevtski industrija predavatelj priznan strokovnjak omenjen področje zato znanje lahek prenesti roka točen program predavatelj objavljen prihodnji dan pridružiti sobota praven fakulteta število mesto omejen zato potreben prijava odpreti petek zamisel znanje prihodnost področje krojiti,2019-10-19 09:00:00,484,114502745229283.0,2,0.007390365203764583,2,13.270910753265134
DAO YAH - Festival celostnega zdravja,festival celosten zdravje dogodek dan obiskovalec predstava širok paleta odgovor vprašanje lahek sam poskrbeti zdravje lahek skupaj celiti energija svet lahek posameznik poskrbeti dober svet sodelovanje akademski izobražen strokovnjak zdravnik farmacevt biolog tridneven festival prežet številen nasvet predavanje delavnica program oprt oder sejemski razstava poln izdelek ideja dober vsakdan festival celosten zdravje temelj glaven temelj kitajski tradicionalen medicina indijski ajurvedski medicina antropologija nov evropski medicina korenina najti star grčija spregovoriti hrana vpliv zdravje lahek povzročiti bolezen tradicionalen dogodek festival celosten zdravje tokrat pripraviti oktober cankarjev dom istočasen festival življenjski obdobje,2019-10-01 09:00:00,525,265166920191742.0,2,0.007847146640247578,2,25.81456633382866
O revoluciji na Trgu francoske revolucije,javen debata revolucija nedelja rojsten dan hanna arendti trg francoski revolucija slovenščina kratek dobiti prevod knjiga revolucija imeti predstavitev ljubljana knjiga predstaviti revolucija spominjati razpravljati skupaj javen hranen kava revolucija nasprotovati razumeti beseda pojmovati zgodovinski dogodek uporabljati okvir prevzem oblast danes revolucija dogajati povsod politika narobe revolucija ključen materialen pogoj skupen delovanje človek svet predpopoldan rojsten dan hanna arendti javen prostor debatirati proslaviti življenje preizkusiti nesmrtnost velik političen teoretičarka sklop prisluhniti govorec različen življenjski nazor političen praksa razumevanje zgodovina revolucija praznovanje prazen zdeti ustrezen priložnost primeren sklop govorec soočiti zahteva resničen vrednost moč misel hanna arendti izkazati konkreten nasloviti problem odpreti sklop razrešiti nestrinjanje nakazati pot sedanji zmeda vprašanje trditev bolj poudarjanje zasluga hanna arendti žena možen soglasje lahek mnenje priti skupen mesto javen prostor soglasje uspeti doseči konstruktiven spreti ostati premlevanje naslednji kafan soglasje počakati priložnost program predavanje trg francoski revolucija postavitev plečnikov ilirski steber javen debata sklop prispevek govorec različen veter sklop odgovor tema sklop misel hanna arendti sklop javen razprava govorek govorec volja čas komentar vprašanje debata posebej namenjen sklop kamor posebej vabiti pokazati sklop misel arendti govoriti vlast jalušič david cerar blaž kosoveti ime prispevek odpreti razprava sklop objaviti prihodnji dan sodelovanje ljubljana unesca mesto literatura,2019-10-13 13:00:00,157,418434805354556.0,2,0.008065207052015615,4,14.904657585346843
ŠOLA ZA VSE,vljuden vabiti otvoritev letošnji razstava naslov šola mali galerija banka slovenija slovenski cesta ljubljana četrtek oktober ura razstava delo skupina mentor ljubljanski fakulteta društvo streha okvir mednaroden razvojen sodelovanje pomoč skupina sodelovanje načrtovati graditi šola družben ustanova reven država način pripomoči uresničevanje cilj razvoj združen narodov dostop otrok svet varen dom izobrazba oskrba odprtje razstava namestnik guverner banka slovenija primož dolenca dekan fakulteta izr profa mateja blenkuš kurator mali galerija banka slovenija vladimir vidmar odprtje pospremiti nastop študent akademija glasba univerza ljubljana kitarist natek štiglić razstava odprt november ogledati lahek torek sobota ura,2019-10-17 19:00:00,147,382318832613035.0,2,0.00816391545591509,4,13.165042477280789
Plečnik in sveto: vodstvo po razstavi z dr. Petrom Krečičem,mesto vodstvo zaseden jožet plečnik oblikovanje liturgičen posodje spodbuditi brat duhovnik plečnik zasnovati izdelati kelih izbran predmet plečnikov liturgičen posodje ogled razstava mesten muzej ljubljana lahek sreda ogledati družba peter krečič velik poznavalec plečnikov opus krečič razstava plečnik svet joža plečnik slovenski arhitekt oblikovalec letošnji poletje ogled vatikanski muzej lahek ogledati mesten muzej ljubljana plečnikov oblikovanje sakralen posodje zapisati plečnik uvesti sodoben čist geometričen oblika okrašen preprost grafičen okrasje dragocen manj dragocen kamenje vselej osredotočati bistvo vloga imeti posamezen posoda liturgija kelih svečan posoda vino spreminjati gospodov kri ciborija svet posoda mističen kruh varen nositi čvrst pokrivati monštranec prosojen posoda funkcija napraviti svet kruh viden daleč omejen prostor vodstvo obvezen prijava prijava mgmls vodstvo vključen cena vstopnica znižati fotografija andrej kelih plečnikov prvenec dolg vrsta sakralen posoda izmojstriti oblikovanje kovina uporaba dragocen manj dragocen kamen fota andreja peunikmgml,2019-11-20 17:00:00,160,117495971633208.0,2,0.008212506125465114,4,18.373088850569534
