naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster_pca,center_distance_pca,cluster_tsne,center_distance_tsne
Defonija: rouge-ah + Igor Lumpert & Innertextures,koncert ciči defonija let utečen koncept spoznati raznolik reč najpoprej podati zmuzljiv subtilen poljana tam zvočen umetnost muzika odmor užiti žlahten nov jazz blagajna klubski vrata odpreti koncert začeti dovolj točen ura nadomestilo nastopajoč meja razum rougea sla urški preis harf konkreten smisel zvočen značilnost plošča vsekakor ponujati zmeren jasen razdelan vstavljenost ružin harfizem siceršnji narativ prežet terenski posnetek dromljajoč zven igra efekt rougea šolan harfistek širok izkušnja raznolik umetniški študij tujina jasen motiviran življenjski afektiran pogon razstava številen znanje razstava skrben urediti diskreten enota jasen motivik fluiden pomenski celota pucelj tolpa bum radio študent album bar celota povezava urški preis glasbenica harfistek vizualen umetnica rojen ljubljana končati klasičen gimnaziti poljana vzporeden obiskovati srednji glasben baleten šola kasneje glasba balet diplomski podiplomski študij opravljati akademija likoven umetnost izmenjava íslands leipziški für grafik unda buchkunst del glasben dueta iiiio skupaj producent glasba tinet vrabič nitzem leipzig začeti sodoben glasben scena uveljavljati sola projekt rougea imeti danes zavidljiv število nastop tujina oktober založba kamizdati izdati prvenec bar trenuten ljubljana končevati magistrski študij glasben novinarek udejstvovati radio študent program ars igor lumpert sla japa igor lumpert tenorski saksofon grega ward altovski saksofon masatosh masa kamaguch kenny grohowski boben tolkati presnet dober album nov jazza vidmar odzven album eleven gti celoten tekst spodaj greati banda špilo igor lumpert ara ideally commanda mixed anda anda outbursts hovering between anda physiqu podium lumpert jazz sounding american thati ever full verva anda groov but withouti losing its anda feed records star znan večkrat predrugačen pregnesti lumpert obsesija zasedba zbran new york naposled rahel predrugačen zasedba izvedba uspešen deti festival jazz cerkno jazz festival ljubljana zdaj bend oborožen serija pohvala nov niz klubski špil pihalec igor lumpert februar pravi pravcat turneja trst ljubljana nov mesto dunati gradec sarajevo zagreb zelo vesel neučakati izboren kvarteti ustava klub gromek igor lumpert new york živeč glasbenik ponašati svojski zven izjemen nadarjen zmerom bolj opažen spoštovan študij linz čas član nagrajevati nemški zasedba povabilo dober svet reggiej workman izobraževanje nadaljevati new york tam zamlad sodelovati glasbenik georg garzona buster williams chica hamilton billy harper tokrat igor gromek nesporen vrhunski zasedba odličen altist grega ward sodelavec raznolik izvajalec prefus lupa fiasca tortois william parker andrew angela mik reed pretanjen japonski masa kamaguch igra george garzoneji bert sieger halo crook herb pomeroyje frank carber mladost metati formiran ultimati drumming machina kenny grohowski pogosten sodelavec john zoren občudovati vzeti bagatela udaren trio asmodeus marc ribot trevor dunn stanleyje clarek lonniej plaxica emelina michel član branda hipster assassins abraxas secreti chiefs album eleven vidmar album eleven iti lumpert ward kamaguch grohowski koncerten ciči defonija sofinancirati ministrstvo kultura republika slovenija mesten občina ljubljana oddelek kultura,2020-02-05 21:00:00,138,150439291789321.0,1,0.0701991148390548,6,0.837180163516164
Ropotarnica XXV - rouge-ah,urški preis glasbenica harfistek vizualen umetnica rojen ljubljana končati klasičen gimnaziti poljana vzporeden obiskovati srednji glasben baleten šola kasneje glasba balet diplomski podiplomski študij opravljati akademija likoven umetnost izmenjava íslands leipziški für grafik unda buchkunst del glasben dueta iiiio skupaj producent glasba tinet vrabič nitzem leipzig začeti sodoben glasben scena uveljavljati sola projekt rougea imeti danes zavidljiv število nastop tujina oktober lani založba kamizdati izdati prvenec bar trenuten ljubljana končevati magistrski študij glasben novinarek udejstvovati radio študent program ars vstopnina koncert koncerten ciči omogočati ministrstvo kultura mol oddelek kultura urad mladina zavod omrežje avtor jan,2019-12-02 21:00:00,113,2293902477531585.0,4,0.08525627023672369,6,0.8540335160399571
Eros Ramazzotti | Arena Stožice - Ljubljana,erosa ramazzott vit worlda toura več koncert več država svet več prodan vstopnica blizek težek pričakovan nov izjemen dogodek živ erosa ramazzott najprestižen dvorana svet izjemen scenografija predstaviti nov album vit koncert pozabiti velik uspešnica let kariera očarati milijon ljubiteljev glasba svet nov album izdati založba polydor november lani italijanščina španščina doslej doseči platinast naklada izid neposreden uvrstiti glasben lestvica najbolj prodajan album fimigfka zasesti mesto prodaja avstrija švica mesto belgija španija nemčija vit worlda toura nov priložnost pomemben mednaroden prizorišče znova prisluhniti nepozaben ramazzottijev hit spremljati običajen izjemen glasbenik luk scarpati klavir john boscariol klaviatura bas paola cost kitara imeti opravek giorgio secca uveljaviti spremljevalen skupina pridružiti nov obraz corey sancheza kitara erica moor boben fenomen gospel glasba scotti paddocka saksofon ameriški glasbenik velik vpliv sodoben jazz znan sodelovati znan glasbenik natalio cola jackson browen ray charles spremljevalen vokati sodelovati monica hill christian lavora giorgio galass,2019-11-23 20:00:00,5059,531669293535737.0,1,0.061541519626719846,6,1.2549277168285298
Jazz Ponedeljek: Zala Smolnikar kvartet ft. Benjamin Schatz,zal smolnikar pobarvati tokraten ponedeljkov džezenje tobačen mlad sončen radoživ dekla zaljubljen življenje vseskozi ustvarjalen kreativen vražiček nikakor dati mir ustvarjati avtorski glasba prepevati igra klavir tolkati poseči avtorski del poskušati dati lasten interpretacija življenje trenuten študirati petje avstrija benjamin schatz pianist študirati los angelo leipzig svetoven znan pianist richiej bairach prejeti kup nagrada granda prix mednaroden tekmovanje val tidoneti italija granda prix tekmovanje californio stati university long beach april član univerza glasba teater leipzig univerza glasba weimar ritem sekcija sestavljati brat smrdeti kontrabas žig smrdeti boben kri povezovati strast glasba glasben pot začeti jazz konservatorij celovec sodelovati številen priznan glasbenik dom tujina poučevati jazz kontrabasa konservatorij glasba balet ljubljana vroč mlad bobnar žig zaključevati šolanje konservatorij jazz glasba celovec zal smolnikar kvarteti zal smolnikar vokati benjamin schatz klaviatura smrdeti kontrabasa žig smrdeti boben tobačen činčina foodporna tržaški cesta vstopnina infa rezervacija infa tobacnae,2019-11-11 20:00:00,130,150249262281295.0,4,0.028740804685891193,6,2.0662275316156533
Študentski jazz session,hangar bar tokrat pozabiti mlad nadobuden glasbenik torek mesec oder zavzeti slovenski tuj jazz glasbenik večina študent glasben igrišče kratek segreti posamezen večer skrben izbran zasedba štafet predal vnaprej prijavljen posameznik pomrežiti zanimiveinovativen jamovski zasedba sodelovati nov obalen jazzovski glasben šola jazzobati učenec udeleževati jam sklop dodaten izobraževanjav oblika obvezen izbiren vsebina bar ponujati osnoven backlina bobnarski set ojačevalec basa kitara mikrofon ostal instrument prinesti tokrat odpirati david nik lipovca boben luk zavišič klavir simona lanza kontrabasa pridružiti del obalen kultura improviziran glasba začeti predhoden prijava dodaten informacija dnlipovca gmailc,2020-01-28 20:00:00,116,959448327485337.0,4,0.03572644067671178,6,2.3068204489340385
FriForma: Dörner / Eichenberger / Studer + Kren / de Bock,improviziran glasba kontrabasist danieti studer klarinetisti markus eichenberger poslušalec izzvati motnja pričakovanje glasbenik ponujati običajen struktura enoten prototip manipulirati zvočen narečje leto povabiti kratek turneja glasbenik trij prispevati ojačitev nenavaden izkušnja letos gostovati nemški tobentača axel dörner večer igrati mlad brina kren lenarta dejati bocka saksofonist brina šola konzervatorij glasba balet ljubljana lenarta študirati saksofon graški univerza glasba upodabljajoč umetnost kuga premieren nastop mlad dueta vključevati poezija vsestranski brina let izdati pesniški zbrika mnogostranost koncert vešč vplet igra saksofon trio dörner eichenberger studer dch axel dörner trobenta markus eichenberger klarinet daniel studer kontrabasa kren dejati bocka sla brina kren alt bariton saksofon lenarta dejati bocka alt sopran saksofon axel dörner najbolj cenjen edinstven glasbenikov svetoven svoboden improvizacijski scena reden sodelavec premnog orkestrski zasedba posameznica posameznikov scena lani prejeti nagrada jazzpristi mesto berlin markus eichenberger delovati let klarinetist delo saksofonist različen skupina projekt izključen polje svoboden improviziran glasba glasben delo podpreti mesto kanton zürich upraven odbor aarga pra helvetio številen fundacija daniel studer kotrabasist magister umetnost glasben pedagogika gostujoč skladatelj elektronisches studio baslo poudarek improvizacija mešan oblika improvizacija kompozicija let poučevati improvizacija različen glasben šola bernski univerza umetnost spomniti gostovanje friforma februar nastopiti harald kimmig alfred zimmerlin john butcher brina kren šolski delovati številen zasedba coda sourec mango kvarteti avrehu okvir sodelovati različen projekt festival abeceda jazz festival ljubljana jazzinty nov mesto festival bled lenarta dejati bocka izjemen aktiven različen zasedba big band akademija glasba ljubljana član platforma mlad raziskovalec lani zbrati vodstvo kontabasist gašper livka delavnica jazz cerkno predstaviti jazz festival ljubljana jesen izdati cedejka coda sourec livka brina kren zupanca filip lenarta dejati bocka leonarda medica,2020-02-27 20:30:00,103,120486904779891.0,1,0.08293964408759226,6,2.5701679831398603
Drama Akustika: Severa in Gal Gjurin,sever gati gjurin posebej prirejen akustičen zvok pričarati večer liričnost avtorski glasba koncert sprehajati več zvočen pokrajina minimalizem glas intima bendovski zvok godalen aranžmaj spremljevalen skupina sestavljati izkušen mlad glasbenik preﬁniti kolektiv reden sodelovati gati izdaja nov album kanada kjer trenuten delovati sever predstavljati nov avtorski gradivo zato poznan umanjkati nov pesem poudarjen ljudskost liričnost glasba posebej zazveneti pokrajina oblikovan priložnost svež aranžmaj prst loka godalen kvintet obet čaroben večer glasoven blagozvočje bogat avtorski glasba,2020-01-12 19:00:00,477,42516119637.0,1,0.04059384743824729,6,2.8109978905634643
Jazz Ponedeljek: JURE PUKL Lighthouse Quartet,tobačen dan jazzenje julijski druženje krošnja pobarvati svetilniški kvarteti jure pukl jura pukl najbolj ustvarjalen mlad jazz let prejeti nagrada prešernov sklad dunaj haag berkle collega musica mojster lovan georg garzona magistrski študij glasben akademija gradec kariera igrati zvezda dav liebman branford marsalisa esperanz spalding georg lewis maceo parker vijay iyer jeff taina watts mnog jura pukl sodoben jazza izdati avtorski zgoščenka prejeti odličen kritika revija downbeati jazzwis portalo all jazz časopis new york times guardian kjer označiti vzhajajoč zvezda ustvarjati glasba nov stoletje reden nastop svet jura pukl doubtless jura pukl saksofon meliss aldan saksofon rob jukica howard curtis boben tobačen činčina foodporna tržaški cesta vstopnina infa infa tobacnae,2019-07-22 20:00:00,112,150249262281295.0,4,0.014854010722573209,6,2.8175910358658585
Jazz večer na Poštni,mathias ruppnig trio ati dejati jura pukl saksofon berkmann bass dejati mathias ruppnig boben ati bobnar mathias ruppnig edinstven glasbenik berlinski jazz scena projekt mathias ruppnig quinteti dach scopes reden potovati evropa azija univerza glasba upodabljajoč umetnost gradec vodja izdati plošča dober uveljavljen založba britanski let latvijski skupina kuga composers ansambel osvojiti nagrada downbeati award for collega graduati latinski skupina mathias let član tobias meinharta kurt sunnysiti records tokrat trio nastopiti mathias spremljevalec jura pukl tenor saksofon berkmann kontrabas jura pukl prejeti visok državen priznanje dosežek področje umetnost slovenija nagrada prešernov sklad najbolj profilen ustvarjalen mlad slovenski jazz pukl izobrazba dobiti tujina klasičen jazz saksofon univerza dunaj glasben haag pukl nato dobiti štipendija glasben šola berkle kjer študij nadaljevati mojster lovan georg garzona ustvarjati edinstven vrsta sodoben jazza svoboden jazza sodoben glasba izvajati velik mera znanje ljubezen pomemben člen član skupina lasten ime objaviti album požeti pozitiven kritika svet vpliven downbeati new york times jazzwis jazz podium all abouti jazz stranski igralec več projekt berkmann jazz institut berlin nato manhattan school musica new york štipendist daad mednaroden tekmovanje kontrabas bass let prejeti nagrada nemški akademija dober filmski rezultat berlinski filmski festival prejeti nagrada nemški kritik zvočen film celovečeren film boy,2019-08-16 20:00:00,297,195354897263261.0,1,0.10098814680786138,6,2.841584780058769
Jazz Ponedeljek: BalKan Duo (Atanasovski + Majstorović),glasben poslastica prekaljen mojstrov zvok spajati desetletje izkušnja ustvarjanje preigravanje klasičen jazz eten rocka muzik vaska atanasovski najbolj vsestranski skladatelj glasbenikov znan sodelovanje svetoven jazz rocka klasičen tradicionalen muzičar vlatek stefanovski living coloura michel godard hinda zahr fengxio carmin slovenica idr obvladovanje številen glasben stil posneti album delo osvojiti kritika občinstvo reden gostovati evropa indija kitajski latinski amerika glasba solist zbor velik orkestra opremiti številen gledališki plesen lutkoven projekt vit taufera bran potočan jerneja lorenca mojec horvati bostjančič jazz eten multiinštrumentalist specialist brenkati teoretik vsestranski zvočen ustvarjalec zoran majstorović porino številen priznanje okiten hrvaški brenkač raznolik inštrument mnog svetoven glasbenik ustvarjati domač ikona arsen dedič šerbedžija gabiti novak terez kesovijati raziskovati umetnost vpliv zvok vsakdanji življenje balkan makedonski devojč balkan vaska atanasovski flavta saksofon zoran majstorovič kitara oud kamati tobačen činčina foodporna tržaški cesta vstopnina infa rezervacija infa tobacnae,2019-08-12 20:00:00,289,150249262281295.0,1,0.06306895717771732,6,2.946683287271478
