naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster_pca,center_distance_pca,cluster_tsne,center_distance_tsne
Dan odprtih vrat v Polycomu,velik zanimanje lanskoleten dogodek letos odločiti predstaviti podjetje zato lep vabiti zanimati potek delo,2019-10-12 09:00:00,196,618039425044660.0,6,0.00024821964614858146,4,22.75686238677654
Agritech 2020,celjisk kmetijski sejem,2020-01-29 09:00:00,664,2663925423696162.0,6,0.0006061071982870049,0,31.226369698608533
UTVV Slovenia pripravljanja tura nr.7 s Salomon Running Academy,pozdraviti konec februar vipavski klasikati pripravljalen tur utvv slovenio edition dobiti center dogajanje glaven trg vipav tica vipati večina vipavski placa dober pozen lani prvič utvv izvesti trg pripravljalen tura soorganizirati skupaj salomona running academy kinvitati running academy luk hren uroš kožar pripravljalen dogodek lahek preizkusiti naslednji dolžina trasa višinec trasa višinec trasa legionar utvv slovenio vztrajen poskrbljen priti salomona running academy projekt mesečen tekaški druženje namen povezati človek teči odkrivati lep slovenski traiti teči dober družba testirati nov oprema izkoristiti družba dober trening več lahek organizacija dogodek prositi prijaviti infa kinvitals,2020-02-29 09:00:00,210,1426624127628043.0,6,0.0007752680041286904,5,35.15725372555925
Pregledovanje netopirnic v Ljubljani,spoznati prebivalec netopirnica lesobetonski hišica netopir vabiti pridružiti pregled netopirnica park tivoli okolica koseški bajer dobiti sobota konec parkirišče bazen tivoli prepoznati visok lestev aktivnost potek sklop projekt netopir skrivnosten ljubljančan sofinancirati mesten občina ljubljana,2019-09-14 09:00:00,147,345466582650866.0,6,0.0009195902095650172,5,35.022048810137996
16. Panonski maraton treh dežel (Lendava),panonski maraton dežela mednaroden kolesarski prireditev graditi most soseda madžar hrvati prireditev letos odvijati šestnajstič zajet akcija slovenija kolesar maraton idiličen madžarski vasica potepati panonski nižina prestopati reka mura dvigniti vinski cesta konec sprostiti umirjen mestece trasa maraton različen zahtevnost primeren uspešen maraton malica medalja kopanje terma vabiti dan preživeti prijeten kolesarjenje okolica trasa maraton velik maraton srednji maraton družinski maraton lendati okolica več,2019-07-21 09:00:00,760,107740715922665.0,6,0.002274413299058473,5,39.91380463753681
"Odprtje občasne razstave ""Azija me je povsem uročila""",vljuden vabiti odprtje občasen razstava azija povsem uročiti obletnica rojstvo alma karlin obletnica odhod pot svet sreda oktober ura star grofija pokrajinski muzej celj,2019-10-16 18:00:00,145,173797732672850.0,6,0.002482878927452599,4,23.046576545887838
79. obletnica osvobodilne fronte - proslava preko Facebook-a,vabiti ogled proslava obletnica ustanovitev osvobodilen fronta slovenski narod posvečen državen praznik dan upor okupator epidemija koron virus proslava potekati facebook profil zzba noba slovenija slavnosten govornik predsednik zzba noba slovenija marijan križman vabiti ogled delitev vsebina nedelja april,2020-04-26 20:00:00,369,148241421989108.0,6,0.002620871389017904,4,28.596836048121897
Razstrupljanje ob polni luni,čas poln luna priporočljiv reden obisk saven telo odplakniti odpaden snov strup počutiti prerojen poln energija program ritualo čiščenje telo vključevati program vrtinčenje zrak piling razstrupljevalen obloga nega telo sadje zelenjava dober počutje ingver napitek limonski trava zeliščen čaj poln luna saven odprt doplačilo vstop ura,2019-02-19 11:00:00,220,186129841407483.0,6,0.0031159120685074434,5,30.050151267946376
Bovčka gre drsat,drag bfjevka drag bfjevec mali sprostitev izpiten obdobje škoda fajen družba zato bovček letos peljati drsanje hala tivoli brezplačen drsanje omogočiti študent pravočasen prijaviti obrazec objaviti dress coda bovčkin hoodio letošnji lanski važen bovčkin hoodio študentski društvo skupajsmodober tokrat hoodija brezplačen vstop mogoč imeti drsalka problem označiti prijava čakati izposoja hala tivoli odštet vseeno pridružiti več bolj zabaven,2020-02-06 19:00:00,127,134798683234416.0,6,0.0034288407642794295,5,18.891714772972396
XX. Obletnica SVAMZ,velik srečanje starodoben vozilo slovenija rekord fiček bolšjak program kotizacija prireditev vreme,2019-09-21 09:00:00,3371,539468473087158.0,6,0.003990366927748482,2,27.480846738480707
